zip,id
11971,3
11976,3
11978,7
11980,1
12009,24
12010,20
12015,2
12018,1
12019,3
12020,27
12027,1
12029,1
12033,6
12037,2
12043,2
12047,30
12051,3
12053,1
12054,23
12061,3
12065,66
12072,1
12075,1
12077,3
12078,1
12081,1
12084,7
12087,2
12090,1
12095,9
12106,2
12110,47
12118,5
12125,1
12134,2
12143,1
12144,10
12157,1
12159,9
12164,3
12165,1
12166,1
12180,46
12182,2
12183,1
12184,2
12186,5
12188,6
12189,27
12198,4
12202,12
12203,32
12204,10
12205,60
12206,10
12207,9
12208,15
12209,4
12210,4
12211,28
12217,1
12302,27
12303,7
12304,7
12305,16
12306,6
12308,12
12309,19
12401,38
12406,1
12414,2
12422,1
12428,1
12430,1
12442,2
12443,1
12446,3
12449,4
12451,1
12457,1
12472,1
12474,2
12477,6
12480,1
12484,4
12485,2
12493,1
12496,2
12498,3
12501,3
12502,2
12504,3
12508,7
12513,1
12514,1
12518,1
12522,1
12524,3
12525,4
12526,1
12528,3
12529,3
12534,16
12538,1
12540,2
12541,1
12545,1
12546,2
12547,1
12548,1
12549,1
12550,4
12553,2
12561,26
12564,1
12565,1
12567,1
12569,3
12571,10
12572,7
12580,1
12583,1
12589,2
12590,3
12594,1
12601,17
12603,4
12604,1
12701,5
12720,1
12723,1
12732,3
12742,1
12748,1
12749,1
12754,1
12759,1
12771,1
12775,1
12776,1
12777,2
12788,1
12792,1
12801,23
12803,4
12804,38
12814,7
12817,2
12828,3
12831,3
12834,3
12845,24
12846,2
12847,1
12852,1
12853,8
12856,2
12866,83
12870,2
12883,4
12885,1
12887,1
12901,21
12903,1
12912,1
12919,1
12921,2
12928,1
12932,2
12936,5
12942,2
12943,1
12946,25
12950,2
12953,9
12970,5
12972,2
12974,3
12977,1
12979,1
12983,12
12986,4
12992,4
12993,4
12996,2
12997,3
13021,8
13026,1
13027,16
13029,1
13030,3
13032,6
13035,4
13036,1
13037,3
13039,2
13041,1
13045,9
13053,2
13057,17
13064,1
13066,7
13077,1
13078,4
13080,1
13088,13
13090,9
13104,1
13108,1
13115,1
13126,6
13131,1
13142,3
13152,1
13159,2
13164,1
13165,6
13166,1
13202,10
13203,1
13204,9
13206,2
13209,1
13210,16
13212,4
13214,2
13244,7
13308,2
13309,1
13316,3
13320,1
13322,1
13323,6
13326,8
13339,1
13340,4
13346,5
13350,4
13360,1
13365,1
13367,1
13368,1
13408,2
13413,14
13417,1
13420,2
13421,3
13440,3
13441,2
13460,1
13473,1
13478,10
13480,1
13491,1
13492,1
13495,7
13501,1
13502,7
13601,11
13617,7
13630,1
13655,6
13662,4
13667,1
13669,1
13676,3
13694,1
13695,1
13731,1
13753,2
13755,1
13760,4
13783,2
13790,1
13795,1
13812,2
13815,1
13820,6
13827,1
13830,1
13850,19
13865,1
13901,5
13903,1
13904,5
13905,7
14006,3
14009,1
14011,1
14020,8
14031,1
14036,1
14040,1
14043,2
14048,3
14051,1
14052,2
14059,2
14063,5
14069,1
14072,11
14075,7
14086,1
14092,1
14094,2
14103,2
14109,1
14120,2
14127,15
14131,1
14136,1
14139,1
14141,3
14150,9
14171,1
14202,8
14203,32
14204,12
14206,1
14209,6
14210,21
14211,7
14213,2
14214,15
14215,1
14216,4
14221,27
14222,6
14223,4
14225,6
14226,15
14227,4
14228,11
14303,4
14304,4
14305,1
14411,2
14414,5
14416,2
14418,1
14420,7
14422,1
14424,4
14425,3
14428,3
14432,5
14433,2
14437,1
14445,8
14450,8
14454,7
14456,9
14467,1
14468,1
14471,1
14472,5
14480,1
14482,3
14487,10
14489,1
14502,2
14510,2
14513,17
14514,1
14519,3
14526,5
14527,2
14530,1
14534,3
14543,1
14546,3
14548,1
14551,1
14555,1
14559,3
14564,7
14569,1
14572,1
14580,12
14586,3
14604,11
14605,1
14606,1
14607,14
14609,3
14610,1
14611,6
14612,5
14614,4
14615,3
14616,4
14617,18
14618,12
14620,5
14621,13
